business_id,company_name,sector,city,county,years_operating,longevity_score,trust_score,operations_score,growth_score,invisibility_score,total_score,classification,validation_status,scored_at
1,Njoro Canning Factory,Agro-processing,Njoro,Nakuru,48,20,16,8,16,20,80,Hidden Champion,Qualified,2026-06-25T12:32:09.977Z
2,Broadways Bread,Food Manufacturing,Thika,Kiambu,68,20,14,14,14,20,82,Hidden Champion,Qualified,2026-06-25T12:32:09.977Z
3,Mini-Bakeries Limited (Supa Loaf),Food Manufacturing,Port Reitz,Mombasa,56,20,12,18,16,20,86,Hidden Champion,Qualified,2026-06-25T12:32:09.978Z
4,Cold Solutions Kenya,Cold Chain Logistics,Tatu City,Kiambu,,5,10,8,18,20,61,Watchlist,Needs Validation,2026-06-25T12:32:09.978Z
5,Paperbags Limited,Packaging,Nairobi,Nairobi,59,20,6,6,0,20,52,Reject,Needs Validation,2026-06-25T12:32:09.978Z
6,SKL (Shri Krishana Overseas PLC),Packaging,Nairobi,Nairobi,,5,2,8,2,20,37,Reject,Needs Validation,2026-06-25T12:32:09.978Z
7,Devki Group,Manufacturing,Ruiru,Kiambu,,5,6,20,20,20,71,Emerging Champion,Needs Validation,2026-06-25T12:32:09.979Z
8,Kenafric Industries,Food Manufacturing,Nairobi,Nairobi,,5,4,18,14,20,61,Watchlist,Needs Validation,2026-06-25T12:32:09.979Z
9,Bamburi Cement,Construction Materials,Nairobi,Nairobi,76,20,8,20,20,10,78,Emerging Champion,Rejected,2026-06-25T12:32:09.979Z
10,Chandaria Industries,Manufacturing,Ruaraka,Nairobi,,5,4,12,12,20,53,Reject,Needs Validation,2026-06-25T12:32:09.980Z
